AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,TraitID_22,TraitID_42,Notes
Rhynchosia franciscana,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchosia melanocarpa,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchosia minima,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchosia naineckensis,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchosia phaseoloides,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchosia reticulata,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora aberrans,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora barbata,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora brevirostris,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora calderana,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora caracasana,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora cephalotes,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora contracta,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora corymbosa,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora diodon,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora emaciata,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora exaltata,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora exilis,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora eximia,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora holoschoenoides,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora junciformis,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora pubera,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora radicans,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora ridleyi,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora riparia,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchospora tenuis,Rhynchospora,Cyperaceae,Poales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhytachne rottboellioides,Rhytachne,Poaceae,Poales,Liliopsida,Tracheophyta,C4,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Richardia brasiliensis,Richardia,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Richardia grandiflora,Richardia,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Richardia scabra,Richardia,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Richardsiella eruciformis,Richardsiella,Poaceae,Poales,Liliopsida,Tracheophyta,C4,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
